# HK colloquial characters — highest-priority overrides for canto-g2p
# Format: char<TAB>jyutping
# License: Apache-2.0 (canto-g2p project, hand-curated)
# These common oral/written Cantonese particles are curated manually to ensure
# correct colloquial readings, overriding rime-cantonese and Unihan where needed.
嘅	ge3
喺	hai2
咗	zo2
囉	lo3
㗎	gaa3
喎	wo3
喇	laa3
咋	zaa3
哋	dei6
噉	gam2
咁	gam3
咩	me1
乜	mat1
啩	gwaa3
噃	bo3
嗱	naa4
俾	bei2
揾	wan2
係	hai6
唔	m4
冇	mou5
佢	keoi5
咪	mai6
呢	ni1
嗰	go2
啲	di1
嘢	je5
咦	ji2
咧	le3
喂	wai3
嘖	zaak3
唓	ce1
哦	o3
囉囉	lo3 lo3
# ── Multi-char phrase fixes (fraction reading of 分) ──────────────────────────
# 分之 in fraction context is fan6 (part/portion), not fan1 (minute).
# Adding as word-level override so M分之N segments correctly.
分之	fan6 zi1
吖	aa1
吓	haa4
喱	lei4
嗯	m4
喐	juk1
攞	lo2
整	zing2
唸	nim6
掂	dim6
搞	gaau2
嗌	aai3
搵	wan2
攬	laam2
啱	ngaam1
叻	lek1
掹	maang1
撚	lan2
嗤	ci1
哂	saai2
噏	ap1
喳	zaa1
囁	zip3
嗡	ung1
唞	tau2
# ── Multi-char phrase fixes (HKCanCor corpus tone-mining spike, 2026-07-20) ──
# rime-cantonese lists 麻雀 as a rime tie (maa4 zoek2 / maa4 zoek3) and
# ToJyutping's own ranking resolves it to zoek3 (citation/"sparrow" tone);
# HKCanCor's transcribed speech shows zoek2 (mahjong) is the actual usage.
# 老豆 ("dad", slang): both rime-cantonese and ToJyutping only have the
# citation reading dau6; HKCanCor shows dau2 in every colloquial occurrence.
麻雀	maa4 zoek2
老豆	lou5 dau2
# 雀仔 ("bird"/genital slang): rime-cantonese's only entry is the citation
# reading zoek3 zai2; HKCanCor shows zoek2 zai2 (same colloquial "zoek2"
# reading as 麻雀/孔雀 above) in every occurrence.
雀仔	zoek2 zai2
