# HKCanCor-verified changed-tone (變調) word corrections for canto-g2p
# Format: word<TAB>jyutping
# License: Apache-2.0 (canto-g2p project, hand-curated)
#
# Methodology: HKCanCor (CC-BY, real spoken-transcript corpus) jyutping was
# diffed against canto-hk-g2p's single-character citation-tone output to
# surface words whose actual spoken tone differs from the citation form.
# Candidates were cross-checked against the raw rime-cantonese/ToJyutping
# data (several of these are rime ties that our ToJyutping tie-break
# resolved to the wrong side, e.g. 麻雀/新聞/之類) and confirmed by a native
# speaker before being added here. WORD-LEVEL ONLY — these characters are
# highly polysemous standalone (e.g. 年/籌/聞/類 have other valid citation
# readings in other compounds), so entries here must never propagate to
# char_entries; see scripts/build_dict.py Step 4c.
#
# Rejected from this batch (2026-07-20 review): 靚仔/靚妹 (leng1) — likely
# reflects 𡃁仔, a distinct colloquial word/character conflated in the source
# transcription, not a genuine changed-tone reading of 靚; 紐西蘭 (nau5) —
# unconfirmed, may be a corpus transcription quirk rather than real usage.
今年	gam1 nin2
紅籌	hung4 cau2
藍籌	laam4 cau2
新聞	san1 man2
無喇喇	mou4 laa1 laa1
之類	zi1 leoi2
#
# Batch 2 (2026-07-20, continued review of the 307-row tone_review_queue.tsv):
# single-character nominal/slang changed-tone readings, kept ONLY where the
# bare standalone character has no common competing verb/dominant-meaning
# reading that this word-level entry would silently overwrite. Existing
# multi-char compounds (光碟/影相/排隊/有份/朋友/計仔/麻雀 etc.) already carry
# their own correct entries and are unaffected — longest-match segmentation
# always prefers them over these single-char fallback entries.
#
# Rejected from this batch: 帶 (daai3→daai2) and 袋 (doi6→doi2) — both have a
# common standalone VERB reading (帶=拎/帶路 daai3; 袋=放入袋 doi6) that is at
# least as frequent as the noun reading HKCanCor flagged; a word-level entry
# can't distinguish syntactic function, so adding it would break sentences
# like 「你帶咗遮未」/「袋定啲錢」. 橋 (kiu4→kiu2) — bare 橋 overwhelmingly
# means "bridge" (kiu4); the kiu2 "idea/trick" slang sense only occurs in
# compounds like 度橋, which already resolve correctly on their own.
碟	dip2
相	soeng2
隊	deoi2
份	fan2
友	jau2
計	gai2
雀	zoek2
